"L0","x","y","H0"
150,0,0,100.13035
75,0,0,86.56619
75,75,0,66.96955
75,0,75,85.08578
75,75,75,74.80812
37.5,0,0,78.90834
37.5,37.5,0,70.13515
37.5,75,0,66.16981
37.5,112.5,0,46.41855
37.5,0,37.5,82.87936
37.5,37.5,37.5,77.34707
37.5,75,37.5,63.46649
37.5,112.5,37.5,47.62743
37.5,0,75,85.08578
37.5,37.5,75,73.9203
37.5,75,75,71.08184
37.5,112.5,75,49.68889
37.5,0,112.5,80.87973
37.5,37.5,112.5,69.81974
37.5,75,112.5,73.16776
37.5,112.5,112.5,55.30353
18.75,0,0,77.53379
18.75,18.75,0,73.62005
18.75,37.5,0,68.20908
18.75,56.25,0,63.6584
18.75,75,0,65.46521
18.75,93.75,0,51.66307
18.75,112.5,0,46.41855
18.75,131.25,0,37.44304
18.75,0,18.75,71.83124
18.75,18.75,18.75,65.72099
18.75,37.5,18.75,67.80801
18.75,56.25,18.75,63.91183
18.75,75,18.75,65.45892
18.75,93.75,18.75,45.21536
18.75,112.5,18.75,36.02154
18.75,131.25,18.75,33.08291
18.75,0,37.5,72.09934
18.75,18.75,37.5,68.94194
18.75,37.5,37.5,63.71313
18.75,56.25,37.5,68.00681
18.75,75,37.5,55.90202
18.75,93.75,37.5,48.41147
18.75,112.5,37.5,39.15924
18.75,131.25,37.5,27.47548
18.75,0,56.25,80.43854
18.75,18.75,56.25,74.22603
18.75,37.5,56.25,68.97527
18.75,56.25,56.25,70.0499
18.75,75,56.25,63.46649
18.75,93.75,56.25,50.30771
18.75,112.5,56.25,45.10544
18.75,131.25,56.25,39.55327
18.75,0,75,82.12009
18.75,18.75,75,78.8362
18.75,37.5,75,65.26949
18.75,56.25,75,64.1094
18.75,75,75,67.07487
18.75,93.75,75,62.78659
18.75,112.5,75,47.31135
18.75,131.25,75,37.42488
18.75,0,93.75,78.10392
18.75,18.75,93.75,76.3269
18.75,37.5,93.75,73.9203
18.75,56.25,93.75,54.06479
18.75,75,93.75,71.08184
18.75,93.75,93.75,58.16202
18.75,112.5,93.75,44.62259
18.75,131.25,93.75,46.42813
18.75,0,112.5,74.29666
18.75,18.75,112.5,75.96884
18.75,37.5,112.5,69.81974
18.75,56.25,112.5,60.06225
18.75,75,112.5,73.16776
18.75,93.75,112.5,68.7444
18.75,112.5,112.5,52.66172
18.75,131.25,112.5,50.45775
18.75,0,131.25,70.36645
18.75,18.75,131.25,62.28043
18.75,37.5,131.25,59.87727
18.75,56.25,131.25,59.27968
18.75,75,131.25,55.2123
18.75,93.75,131.25,57.78002
18.75,112.5,131.25,53.60448
18.75,131.25,131.25,53.24686
