"L0","x","y","H0"
40,0,0,28.35156
20,0,0,9.93292000000002
20,20,0,15.5892
20,0,20,16.00253
20,20,20,19.07623
10,0,0,9.93292000000002
10,10,0,7.36068999999998
10,20,0,9.77438000000001
10,30,0,10.03537
10,0,10,4.42932000000002
10,10,10,7.63486
10,20,10,10.78296
10,30,10,12.34485
10,0,20,9.00628999999998
10,10,20,10.39587
10,20,20,7.31560999999999
10,30,20,11.18445
10,0,30,9.11008000000004
10,10,30,6.66503
10,20,30,10.22351
10,30,30,13.80996
5,0,0,8.16397000000001
5,5,0,6.66811999999999
5,10,0,4.86696999999998
5,15,0,2.48388
5,20,0,3.31619000000001
5,25,0,6.47735
5,30,0,9.74033000000003
5,35,0,7.13476000000003
5,0,5,4.65377999999998
5,5,5,2.42569000000003
5,10,5,5.28377999999998
5,15,5,6.07261
5,20,5,5.81079
5,25,5,4.40880999999996
5,30,5,4.65179000000001
5,35,5,7.19773000000004
5,0,10,3.10425000000004
5,5,10,2.38390999999996
5,10,10,2.61286000000001
5,15,10,4.16590000000002
5,20,10,4.45751999999999
5,25,10,5.79497999999995
5,30,10,5.86752999999999
5,35,10,6.38736
5,0,15,1.86255
5,5,15,2.64339999999999
5,10,15,3.30993999999998
5,15,15,4.64812999999998
5,20,15,5.49408
5,25,15,6.38296000000003
5,30,15,4.97765999999996
5,35,15,8.30392000000001
5,0,20,3.17773999999997
5,5,20,5.03029999999995
5,10,20,5.40985000000001
5,15,20,6.86816999999996
5,20,20,5.26163000000003
5,25,20,4.15304000000003
5,30,20,2.41714999999999
5,35,20,7.78726
5,0,25,5.64517999999998
5,5,25,5.25677999999999
5,10,25,4.65474999999998
5,15,25,4.33904999999999
5,20,25,3.06396000000001
5,25,25,1.93716000000001
5,30,25,6.82995
5,35,25,6.70505000000003
5,0,30,4.12558000000001
5,5,30,4.87487999999996
5,10,30,3.12689
5,15,30,3.31336000000005
5,20,30,4.32403999999997
5,25,30,5.22351000000003
5,30,30,7.79323999999997
5,35,30,6.53323
5,0,35,4.82709
5,5,35,4.70001000000002
5,10,35,3.89717999999999
5,15,35,4.52539000000002
5,20,35,4.21236999999996
5,25,35,9.90476000000001
5,30,35,8.41336000000001
5,35,35,5.49777
2.5,0,0,1.31884000000002
2.5,2.5,0,1.52686
2.5,5,0,2.19366000000002
2.5,7.5,0,2.56360000000001
2.5,10,0,1.86696999999998
2.5,12.5,0,1.41570999999999
2.5,15,0,1.94207
2.5,17.5,0,1.70787999999999
2.5,20,0,1.07992000000002
2.5,22.5,0,1.26222999999999
2.5,25,0,1.58102000000002
2.5,27.5,0,1.67733000000004
2.5,30,0,3.49439000000001
2.5,32.5,0,4.39999999999998
2.5,35,0,3.58014000000003
2.5,37.5,0,4.00329999999997
2.5,0,2.5,3.72782000000001
2.5,2.5,2.5,6.47341999999998
2.5,5,2.5,4.49370999999996
2.5,7.5,2.5,3.87444999999997
2.5,10,2.5,4.01946999999996
2.5,12.5,2.5,2.01101
2.5,15,2.5,0.798619999999971
2.5,17.5,2.5,1.49771000000004
2.5,20,2.5,1.79968000000002
2.5,22.5,2.5,2.54250999999999
2.5,25,2.5,3.44995
2.5,27.5,2.5,4.77754999999996
2.5,30,2.5,5.39999
2.5,32.5,2.5,5.04593
2.5,35,2.5,3.62903
2.5,37.5,2.5,2.95462000000003
2.5,0,5,4.65377999999998
2.5,2.5,5,1.37707999999998
2.5,5,5,1.44741000000005
2.5,7.5,5,1.39404000000002
2.5,10,5,2.49255999999997
2.5,12.5,5,2.09100000000001
2.5,15,5,2.76555999999999
2.5,17.5,5,2.43182999999999
2.5,20,5,3.86090000000002
2.5,22.5,5,3.13527999999997
2.5,25,5,4.08693999999997
2.5,27.5,5,3.18416999999999
2.5,30,5,1.46047999999996
2.5,32.5,5,2.54097999999999
2.5,35,5,2.35166000000004
2.5,37.5,5,2.93984999999998
2.5,0,7.5,1.06402999999995
2.5,2.5,7.5,1.48617000000002
2.5,5,7.5,2.05158
2.5,7.5,7.5,0.83257999999995
2.5,10,7.5,1.27056999999996
2.5,12.5,7.5,5.11376999999999
2.5,15,7.5,3.25765999999999
2.5,17.5,7.5,3.97564999999997
2.5,20,7.5,2.00171
2.5,22.5,7.5,1.48340000000002
2.5,25,7.5,1.54903999999999
2.5,27.5,7.5,2.69808999999998
2.5,30,7.5,2.53143
2.5,32.5,7.5,2.04632000000004
2.5,35,7.5,3.40268000000003
2.5,37.5,7.5,6.13839999999999
2.5,0,10,1.63577000000004
2.5,2.5,10,1.56903
2.5,5,10,1.08492999999999
2.5,7.5,10,1.23039999999997
2.5,10,10,2.07513
2.5,12.5,10,1.16412000000003
2.5,15,10,1.75879000000003
2.5,17.5,10,2.57247999999998
2.5,20,10,2.46613000000002
2.5,22.5,10,2.56047999999998
2.5,25,10,2.24364999999995
2.5,27.5,10,2.4255
2.5,30,10,3.37723
2.5,32.5,10,2.59998000000002
2.5,35,10,2.48452999999995
2.5,37.5,10,3.95444000000003
2.5,0,12.5,1.82737000000003
2.5,2.5,12.5,1.19282000000004
2.5,5,12.5,0.775209999999959
2.5,7.5,12.5,1.80636999999996
2.5,10,12.5,1.52298000000002
2.5,12.5,12.5,2.61286000000001
2.5,15,12.5,2.30105000000003
2.5,17.5,12.5,1.97590000000002
2.5,20,12.5,1.54975000000002
2.5,22.5,12.5,1.62813999999997
2.5,25,12.5,2.32974999999999
2.5,27.5,12.5,3.26925999999997
2.5,30,12.5,2.53818000000001
2.5,32.5,12.5,2.05500000000001
2.5,35,12.5,2.39639000000005
2.5,37.5,12.5,4.85577000000001
2.5,0,15,1.23275999999998
2.5,2.5,15,0.999599999999987
2.5,5,15,0.487219999999979
2.5,7.5,15,1.51648
2.5,10,15,2.11126999999999
2.5,12.5,15,1.66501
