"L0","x","y","H0"
40,0,0,29.04725
20,0,0,18.81067
20,20,0,11.45994
20,0,20,25.01975
20,20,20,19.35351
10,0,0,11.9870299999999
10,10,0,11.04907
10,20,0,6.77850999999998
10,30,0,9.91944000000001
10,0,10,14.03521
10,10,10,5.94083000000001
10,20,10,4.11331000000001
10,30,10,5.11680000000001
10,0,20,6.33274
10,10,20,5.85994999999997
10,20,20,5.84353000000004
10,30,20,10.09896
10,0,30,14.50409
10,10,30,20.88327
10,20,30,12.91122
10,30,30,15.65561
5,0,0,6.07489999999996
5,5,0,4.40231
5,10,0,6.9357
5,15,0,3.92245000000003
5,20,0,3.12569999999999
5,25,0,3.99124999999998
5,30,0,3.79563000000002
5,35,0,6.66361000000001
5,0,5,5.45609000000002
5,5,5,5.54732999999999
5,10,5,7.20175
5,15,5,2.67888999999997
5,20,5,3.39139
5,25,5,5.77850999999998
5,30,5,4.94104000000004
5,35,5,6.83663999999999
5,0,10,11.5252
5,5,10,5.64123999999998
5,10,10,5.17182000000003
5,15,10,2.91501
5,20,10,2.88409999999999
5,25,10,2.06118000000004
5,30,10,2.93519000000003
5,35,10,3.47687000000002
5,0,15,11.98767
5,5,15,5.42307
5,10,15,2.74954000000002
5,15,15,3.49941999999999
5,20,15,2.43353000000002
5,25,15,3.33395999999999
5,30,15,2.42453
5,35,15,2.30585000000002
5,0,20,1.63472999999999
5,5,20,1.70708999999999
5,10,20,3.67007000000001
5,15,20,3.80389000000002
5,20,20,4.31158000000005
5,25,20,3.42340000000002
5,30,20,2.53334999999998
5,35,20,3.28811999999999
5,0,25,4.94129000000004
5,5,25,4.13488999999998
5,10,25,3.02477999999996
5,15,25,3.28500000000003
5,20,25,3.66861
5,25,25,5.22091
5,30,25,5.09169999999995
5,35,25,9.63467000000003
5,0,30,7.67327999999998
5,5,30,6.02322000000004
5,10,30,10.48132
5,15,30,8.74257999999998
5,20,30,7.19435999999996
5,25,30,6.03656000000001
5,30,30,4.63229000000001
5,35,30,10.10812
5,0,35,6.19522000000001
5,5,35,13.41784
5,10,35,19.08764
5,15,35,9.18884000000003
5,20,35,6.56639999999999
5,25,35,4.96292
5,30,35,4.91913
5,35,35,4.56957999999997
2.5,0,0,0.91037
2.5,2.5,0,2.24628000000001
2.5,5,0,1.12366000000003
2.5,7.5,0,2.21570000000003
2.5,10,0,4.97057999999998
2.5,12.5,0,2.76216999999997
2.5,15,0,2.61569000000003
2.5,17.5,0,1.73764
2.5,20,0,2.24283000000003
2.5,22.5,0,3.08171999999996
2.5,25,0,1.83591000000001
2.5,27.5,0,1.81238000000002
2.5,30,0,3.20873999999998
2.5,32.5,0,1.39832000000001
2.5,35,0,2.32636000000002
2.5,37.5,0,4.11064999999996
2.5,0,2.5,3.00126
2.5,2.5,2.5,6.07489999999996
2.5,5,2.5,4.14328
2.5,7.5,2.5,4.40231
2.5,10,2.5,5.45767000000001
2.5,12.5,2.5,2.27787000000001
2.5,15,2.5,2.05569000000003
2.5,17.5,2.5,1.22390999999999
2.5,20,2.5,1.74242999999996
2.5,22.5,2.5,1.71134000000001
2.5,25,2.5,1.49432999999999
2.5,27.5,2.5,2.56315000000001
2.5,30,2.5,1.03424000000001
2.5,32.5,2.5,2.00875000000002
2.5,35,2.5,1.99453999999997
2.5,37.5,2.5,4.42246
2.5,0,5,2.75896999999998
2.5,2.5,5,2.07891999999998
2.5,5,5,2.00281000000001
2.5,7.5,5,4.25383999999997
2.5,10,5,3.41075999999998
2.5,12.5,5,2.78113000000002
2.5,15,5,1.12423999999999
2.5,17.5,5,1.53176999999999
2.5,20,5,1.28390999999999
2.5,22.5,5,1.83701000000002
2.5,25,5,1.64102000000003
2.5,27.5,5,2.90158000000002
2.5,30,5,2.13018000000005
2.5,32.5,5,2.08564000000001
2.5,35,5,2.45157
2.5,37.5,5,4.28435999999999
2.5,0,7.5,3.69260000000003
2.5,2.5,7.5,2.61559999999997
2.5,5,7.5,4.00235000000004
2.5,7.5,7.5,3.06347
2.5,10,7.5,5.35955999999999
2.5,12.5,7.5,4.41269
2.5,15,7.5,1.20246000000003
2.5,17.5,7.5,1.26571000000001
2.5,20,7.5,2.08496000000002
2.5,22.5,7.5,1.88394
2.5,25,7.5,2.47528
2.5,27.5,7.5,3.07904000000002
2.5,30,7.5,3.39429000000001
2.5,32.5,7.5,2.71074999999996
2.5,35,7.5,2.84708000000001
2.5,37.5,7.5,2.39999999999998
2.5,0,10,4.49402000000003
2.5,2.5,10,4.10919000000001
2.5,5,10,1.81432999999998
2.5,7.5,10,1.46701000000002
2.5,10,10,3.72946000000002
2.5,12.5,10,3.19742000000002
2.5,15,10,2.43558000000002
2.5,17.5,10,2.22744999999998
2.5,20,10,2.19193000000001
2.5,22.5,10,1.43362999999999
2.5,25,10,1.21286000000003
2.5,27.5,10,1.35467
2.5,30,10,1.43088
2.5,32.5,10,1.51627000000002
2.5,35,10,1.92920000000004
2.5,37.5,10,2.69107000000002
2.5,0,12.5,8.10906999999997
2.5,2.5,12.5,6.61685
2.5,5,12.5,1.47651000000002
2.5,7.5,12.5,4.30860000000001
2.5,10,12.5,4.03896999999995
2.5,12.5,12.5,1.87545999999998
2.5,15,12.5,1.29788000000002
2.5,17.5,12.5,1.1019
2.5,20,12.5,1.96245999999996
2.5,22.5,12.5,1.75564000000003
2.5,25,12.5,2.06118000000004
2.5,27.5,12.5,0.759529999999984
2.5,30,12.5,0.866240000000005
2.5,32.5,12.5,1.69172000000003
2.5,35,12.5,1.79879999999997
2.5,37.5,12.5,1.55270000000002
2.5,0,15,6.40924000000001
2.5,2.5,15,4.98241999999999
2.5,5,15,4.46758999999997
2.5,7.5,15,3.62882000000002
2.5,10,15,0.592159999999978
2.5,12.5,15,1.38769000000002
2.5,15,15,1.23361
2.5,17.5,15,1.22667999999999
2.5,20,15,1.20412999999996
2.5,22.5,15,1.54944
2.5,25,15,1.72433999999998
2.5,27.5,15,1.32910000000004
2.5,30,15,0.832370000000026
2.5,32.5,15,1.60757999999998
2.5,35,15,1.23833999999999
2.5,37.5,15,1.60266999999999
2.5,0,17.5,11.98767
2.5,2.5,17.5,0.691870000000051
2.5,5,17.5,2.76303000000001
2.5,7.5,17.5,1.67663999999996
2.5,10,17.5,0.902559999999994
2.5,12.5,17.5,1.90631000000002
2.5,15,17.5,1.76943999999997
2.5,17.5,17.5,2.56777999999997
2.5,20,17.5,1.66079000000002
2.5,22.5,17.5,1.36878000000002
2.5,25,17.5,1.84447999999998
2.5,27.5,17.5,1.96564000000001
2.5,30,17.5,1.72824000000003
2.5,32.5,17.5,1.60205000000002
2.5,35,17.5,1.82202000000001
2.5,37.5,17.5,1.08866
2.5,0,20,1.39261000000005
2.5,2.5,20,1.00915000000003
2.5,5,20,1.05564000000004
2.5,7.5,20,1.31109999999995
2.5,10,20,2.26587000000001
2.5,12.5,20,0.884029999999996
2.5,15,20,1.14650999999998
2.5,17.5,20,2.03674000000001
2.5,20,20,1.20218
2.5,22.5,20,2.05984000000001
2.5,25,20,2.46514999999999
2.5,27.5,20,1.88405999999998
2.5,30,20,1.32672000000002
2.5,32.5,20,1.65258999999998
2.5,35,20,1.59069999999997
2.5,37.5,20,0.908140000000003
2.5,0,22.5,1.43413999999996
2.5,2.5,22.5,1.09994
2.5,5,22.5,1.40335000000005
2.5,7.5,22.5,1.23174999999998
2.5,10,22.5,2.48824999999999
2.5,12.5,22.5,2.01718000000005
2.5,15,22.5,1.65378000000004
2.5,17.5,22.5,1.58843999999999
2.5,20,22.5,2.3236
2.5,22.5,22.5,2.95974000000001
2.5,25,22.5,1.33675999999997
2.5,27.5,22.5,2.79052000000001
2.5,30,22.5,2.00232
2.5,32.5,22.5,1.38137
2.5,35,22.5,0.616210000000024
2.5,37.5,22.5,2.00103999999999
2.5,0,25,1.40964000000002
2.5,2.5,25,1.23514
2.5,5,25,1.03906999999998
2.5,7.5,25,2.20285000000001
2.5,10,25,2.01227
2.5,12.5,25,1.65899999999999
2.5,15,25,1.9357
2.5,17.5,25,1.63177999999999
2.5,20,25,1.07909999999998
2.5,22.5,25,2.00945999999999
2.5,25,25,2.25011999999998
2.5,27.5,25,1.79007000000001
2.5,30,25,2.02337999999997
2.5,32.5,25,3.73043999999999
2.5,35,25,4.78928000000002
2.5,37.5,25,6.77436
2.5,0,27.5,4.00702000000001
2.5,2.5,27.5,4.00238000000002
2.5,5,27.5,3.75531000000001
2.5,7.5,27.5,1.80002000000002
2.5,10,27.5,1.44472999999999
2.5,12.5,27.5,0.915399999999977
2.5,15,27.5,1.61166000000003
2.5,17.5,27.5,1.90500000000003
2.5,20,27.5,1.87676999999996
2.5,22.5,27.5,1.90253000000001
2.5,25,27.5,2.13110999999998
2.5,27.5,27.5,2.90652
2.5,30,27.5,2.53499999999997
2.5,32.5,27.5,1.65231
2.5,35,27.5,2.06488000000002
2.5,37.5,27.5,8.96334000000002
2.5,0,30,7.32805999999999
2.5,2.5,30,5.93389000000002
2.5,5,30,2.58875
2.5,7.5,30,2.19409999999999
2.5,10,30,3.86986999999999
2.5,12.5,30,6.32166000000001
2.5,15,30,3.28621999999996
2.5,17.5,30,3.82344999999998
2.5,20,30,3.30588
2.5,22.5,30,2.81335000000001
2.5,25,30,3.29717999999997
2.5,27.5,30,4.32925
2.5,30,30,2.13004000000001
2.5,32.5,30,2.77936
2.5,35,30,3.48856000000001
2.5,37.5,30,8.97314
2.5,0,32.5,3.54946999999999
2.5,2.5,32.5,4.07311999999996
2.5,5,32.5,3.75112000000001
2.5,7.5,32.5,2.01639
2.5,10,32.5,5.25454999999999
2.5,12.5,32.5,10.29083
2.5,15,32.5,5.43471999999997
2.5,17.5,32.5,4.63538
2.5,20,32.5,3.75387000000001
2.5,22.5,32.5,3.31218999999999
2.5,25,32.5,2.69394
2.5,27.5,32.5,2.03537
2.5,30,32.5,1.61673000000002
2.5,32.5,32.5,3.99669999999998
2.5,35,32.5,2.81915999999995
2.5,37.5,32.5,2.16332999999997
2.5,0,35,1.95983999999999
2.5,2.5,35,2.14968999999996
2.5,5,35,3.08254999999997
2.5,7.5,35,3.91329999999999
2.5,10,35,12.69299
2.5,12.5,35,10.10505
2.5,15,35,5.62533000000002
2.5,17.5,35,4.06554999999997
2.5,20,35,3.54791
2.5,22.5,35,2.87950999999998
2.5,25,35,2.29424999999998
2.5,27.5,35,2.18813999999998
2.5,30,35,2.04572000000002
2.5,32.5,35,2.01520000000005
2.5,35,35,2.96260999999998
2.5,37.5,35,2.19228999999996
2.5,0,37.5,3.82035000000002
2.5,2.5,37.5,3.04744999999997
2.5,5,37.5,3.18453999999997
2.5,7.5,37.5,9.55910999999998
2.5,10,37.5,14.44296
2.5,12.5,37.5,3.56209999999999
2.5,15,37.5,2.40053999999998
2.5,17.5,37.5,3.30542000000003
2.5,20,37.5,3.00237999999996
2.5,22.5,37.5,2.49727999999999
2.5,25,37.5,2.41793999999999
2.5,27.5,37.5,2.39256999999998
2.5,30,37.5,2.57568999999995
2.5,32.5,37.5,3.09269
2.5,35,37.5,2.17818999999997
2.5,37.5,37.5,1.88287000000003
1.25,0,0,0.217409999999973
1.25,1.25,0,0.587469999999996
1.25,2.5,0,1.15508999999997
1.25,3.75,0,0.482969999999966
1.25,5,0,0.27303999999998
1.25,6.25,0,0.510989999999993
1.25,7.5,0,0.475680000000011
1.25,8.75,0,1.48419000000001
1.25,10,0,0.95404000000002
1.25,11.25,0,1.91404
1.25,12.5,0,0.937889999999982
1.25,13.75,0,1.10297000000003
1.25,15,0,1.01315
1.25,16.25,0,0.851799999999969
1.25,17.5,0,0.598090000000013
1.25,18.75,0,0.38683999999995
1.25,20,0,1.71550999999999
1.25,21.25,0,0.450409999999977
1.25,22.5,0,1.84003000000001
1.25,23.75,0,1.72949
1.25,25,0,1.55590999999998
1.25,26.25,0,1.26501999999999
1.25,27.5,0,0.372190000000046
1.25,28.75,0,0.682590000000005
1.25,30,0,1.48416000000003
1.25,31.25,0,1.25704999999999
1.25,32.5,0,1.28534000000002
1.25,33.75,0,1.06088
1.25,35,0,0.787210000000016
1.25,36.25,0,1.82809000000003
1.25,37.5,0,3.51495
1.25,38.75,0,0.434050000000013
1.25,0,1.25,0.543889999999976
1.25,1.25,1.25,0.555900000000008
1.25,2.5,1.25,1.08972
1.25,3.75,1.25,1.51487000000003
1.25,5,1.25,0.832210000000032
1.25,6.25,1.25,1.00827000000004
1.25,7.5,1.25,0.52319
1.25,8.75,1.25,0.851660000000038
1.25,10,1.25,1.74957000000001
1.25,11.25,1.25,3.87362999999999
1.25,12.5,1.25,1.37485000000004
1.25,13.75,1.25,1.32357999999999
1.25,15,1.25,1.35034000000002
1.25,16.25,1.25,0.464359999999999
1.25,17.5,1.25,0.929069999999967
1.25,18.75,1.25,0.542449999999974
1.25,20,1.25,2.24283000000003
1.25,21.25,1.25,0.620999999999981
1.25,22.5,1.25,0.942559999999958
1.25,23.75,1.25,0.502799999999979
1.25,25,1.25,0.237160000000017
1.25,26.25,1.25,0.541780000000017
1.25,27.5,1.25,0.881749999999954
1.25,28.75,1.25,1.22071
1.25,30,1.25,1.03558999999996
1.25,31.25,1.25,1.01499000000001
1.25,32.5,1.25,0.759520000000009
1.25,33.75,1.25,0.695160000000044
1.25,35,1.25,0.840950000000021
1.25,36.25,1.25,1.21416999999997
1.25,37.5,1.25,3.36800999999997
1.25,38.75,1.25,0.452169999999967
1.25,0,2.5,0.194160000000011
1.25,1.25,2.5,0.697479999999985
1.25,2.5,2.5,1.07501000000002
1.25,3.75,2.5,5.39456999999999
1.25,5,2.5,1.84103999999996
1.25,6.25,2.5,1.99158
1.25,7.5,2.5,1.53375
1.25,8.75,2.5,3.94356999999997
1.25,10,2.5,4.00995
1.25,11.25,2.5,1.07772
1.25,12.5,2.5,1.11035000000004
1.25,13.75,2.5,1.30306999999999
1.25,15,2.5,1.34228000000002
1.25,16.25,2.5,0.923890000000029
1.25,17.5,2.5,0.253299999999967
1.25,18.75,2.5,0.548829999999953
1.25,20,2.5,1.74242999999996
1.25,21.25,2.5,1.23068000000001
1.25,22.5,2.5,1.35843
1.25,23.75,2.5,1.03046000000001
1.25,25,2.5,1.08950999999996
1.25,26.25,2.5,0.637760000000014
1.25,27.5,2.5,1.41031000000004
1.25,28.75,2.5,1.28113000000002
1.25,30,2.5,0.539519999999982
1.25,31.25,2.5,0.314180000000022
1.25,32.5,2.5,0.954620000000034
1.25,33.75,2.5,1.08569999999997
1.25,35,2.5,1.16225999999995
1.25,36.25,2.5,0.699919999999963
1.25,37.5,2.5,4.24081999999999
1.25,38.75,2.5,1.10410000000002
1.25,0,3.75,2.30556999999999
1.25,1.25,3.75,1.25781999999998
1.25,2.5,3.75,0.933629999999994
1.25,3.75,3.75,0.407379999999989
1.25,5,3.75,0.760620000000017
1.25,6.25,3.75,2.19620000000003
1.25,7.5,3.75,2.39935000000003
1.25,8.75,3.75,0.789060000000006
1.25,10,3.75,1.43340999999998
1.25,11.25,3.75,1.60845999999998
1.25,12.5,3.75,1.05617999999998
1.25,13.75,3.75,0.437289999999962
1.25,15,3.75,0.715640000000008
1.25,16.25,3.75,0.646579999999972
1.25,17.5,3.75,0.845400000000041
1.25,18.75,3.75,0.322629999999947
1.25,20,3.75,0.463409999999953
1.25,21.25,3.75,0.232079999999996
1.25,22.5,3.75,0.259340000000009
1.25,23.75,3.75,0.578830000000039
1.25,25,3.75,0.539800000000014
1.25,26.25,3.75,0.57186999999999
1.25,27.5,3.75,1.51575000000003
1.25,28.75,3.75,0.670010000000048
1.25,30,3.75,0.265499999999975
1.25,31.25,3.75,0.644110000000012
1.25,32.5,3.75,0.647580000000005
1.25,33.75,3.75,0.659330000000011
1.25,35,3.75,0.396299999999997
1.25,36.25,3.75,0.690949999999987
1.25,37.5,3.75,2.97008999999997
1.25,38.75,3.75,0.206209999999999
1.25,0,5,1.85365999999999
1.25,1.25,5,0.942170000000033
1.25,2.5,5,1.15517999999997
1.25,3.75,5,1.37975999999998
1.25,5,5,1.12338
