"L0","x","y","H0"
40,0,0,64.19507
20,0,0,60.54529
20,20,0,56.00333
20,0,20,63.91297
20,20,20,57.25318
10,0,0,12.78562
10,10,0,45.56927
10,20,0,17.08789
10,30,0,52.63812
10,0,10,50.87681
10,10,10,53.73096
10,20,10,45.3628
10,30,10,50.78165
10,0,20,54.14261
10,10,20,11.2659
10,20,20,53.37232
10,30,20,52.13099
10,0,30,47.92304
10,10,30,61.54096
10,20,30,19.48877
10,30,30,48.53614
5,0,0,4.53156000000001
5,5,0,10.35132
5,10,0,38.5567600000001
5,15,0,43.50009
5,20,0,8.99322999999998
5,25,0,6.08789000000002
5,30,0,5.05361999999997
5,35,0,48.01855
5,0,5,8.18700999999999
5,5,5,7.39530000000002
5,10,5,9.05950999999999
5,15,5,36.68829
5,20,5,9.19999000000001
5,25,5,7.13619999999997
5,30,5,6.94435999999996
5,35,5,43.2930899999999
5,0,10,9.20000999999996
5,5,10,8.31235000000004
5,10,10,8.98540999999994
5,15,10,28.90091
5,20,10,31.89197
5,25,10,9.15607
5,30,10,42.38498
5,35,10,44.11517
5,0,15,50.54734
5,5,15,10.5535
5,10,15,13.83005
5,15,15,49.32818
5,20,15,45.3628
5,25,15,37.82288
5,30,15,48.31546
5,35,15,6.86536000000001
5,0,20,51.17331
5,5,20,5.85311999999999
5,10,20,6.15493999999995
5,15,20,8.59319999999997
5,20,20,12.20001
5,25,20,42.77777
5,30,20,46.53693
5,35,20,3.93923999999998
5,0,25,45.4895
5,5,25,12.9913
5,10,25,6.9289
5,15,25,4.59998000000002
5,20,25,8.59454999999997
5,25,25,10.86788
5,30,25,46.28147
5,35,25,10.79566
5,0,30,33.72787
5,5,30,39.6883
5,10,30,11.53839
5,15,30,7.95690999999999
5,20,30,5.48876999999999
5,25,30,10.78269
5,30,30,43.7817
5,35,30,44.89545
5,0,35,5.30919999999998
5,5,35,38.48157
5,10,35,51.78406
5,15,35,11.6
5,20,35,12.48846
5,25,35,13.79999
5,30,35,45.88657
5,35,35,3.66021999999998
2.5,0,0,1.77973000000003
2.5,2.5,0,3.22922
2.5,5,0,3.19527999999997
2.5,7.5,0,5.10214999999999
2.5,10,0,3.93380999999999
2.5,12.5,0,33.85153
2.5,15,0,37.43985
2.5,17.5,0,5.8125
2.5,20,0,3.52306999999996
2.5,22.5,0,3.70209
2.5,25,0,2.97075999999998
2.5,27.5,0,1.83691000000005
2.5,30,0,2.33821999999998
2.5,32.5,0,1.83064999999999
2.5,35,0,48.01855
2.5,37.5,0,1.33794999999998
2.5,0,2.5,3.20001000000002
2.5,2.5,2.5,1.47640999999999
2.5,5,2.5,4.06418000000002
2.5,7.5,2.5,3.96414000000004
2.5,10,2.5,3.18131000000005
2.5,12.5,2.5,4.38593000000003
2.5,15,2.5,35.8876
2.5,17.5,2.5,5.59998000000002
2.5,20,2.5,3.60001
2.5,22.5,2.5,3
2.5,25,2.5,2.56729999999999
2.5,27.5,2.5,3.57923000000005
2.5,30,2.5,1.26904000000002
2.5,32.5,2.5,3.19515999999999
2.5,35,2.5,44.52243
2.5,37.5,2.5,1.19443000000001
2.5,0,5,3.60001
2.5,2.5,5,4.18700999999999
